Nombre de la escuela,Clave de la escuela,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,24DPT0005Q,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,24DPT0005Q,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 17,24ECB0017A,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 17,24ECB0017A,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 25,24ECB0024K,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 25,24ECB0024K,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 26,24ECB0027H,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 26,24ECB0027H,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 28,24ECB0031U,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 28,24ECB0031U,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,24ETC0002O,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,24ETC0002O,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD S.L.P. IX BOCAS,24ETC0012V,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,24DCT0422Z,32.4,31.6,29.9,6,62,27.5,8.7,1.8
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,24DCT0422Z,32.4,31.6,29.9,6,62,27.5,8.7,1.8
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,24DCT0424X,32.4,31.6,29.9,6,62,27.5,8.7,1.8
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,24DCT0424X,32.4,31.6,29.9,6,62,27.5,8.7,1.8
"INSTITUTO AVANCE, A.C.",24PBH0086Y,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO CARLOS GOMEZ,24PCT0001V,29.7,29,31.3,10,63.6,24.6,7.6,4.3
LIC. JESUS SILVA HERZOG,24SBC0001C,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. JOSE JUAREZ BARBOSA,24SBC0019B,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 6 JESUS MARIA ISAIS REYES,24SBC0023O,29.7,29,31.3,10,63.6,24.6,7.6,4.3
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,24DET0004L,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,24DET0004L,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,24DPT0009M,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,24DPT0009M,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 196,24DTA0196V,32.4,31.6,29.9,6,62,27.5,8.7,1.8
COLEGIO DE BACHILLERES NUM. 01,24ECB0001Z,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 01,24ECB0001Z,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 19,24ECB0025J,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 19,24ECB0025J,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",24ETC0001P,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",24ETC0001P,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",24ETC0003N,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",24ETC0003N,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO X ESCALERILLAS,24ETC0013U,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO SAN LUIS REY DE FRANCIA,24PBH0001A,29.7,29,31.3,10,63.6,24.6,7.6,4.3
