NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,grupos
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9,0
32.4,31.6,29.9,6.0,62.0,27.5,8.7,1.8,2
32.4,31.6,29.9,6.0,62.0,27.5,8.7,1.8,2
32.4,31.6,29.9,6.0,62.0,27.5,8.7,1.8,2
32.4,31.6,29.9,6.0,62.0,27.5,8.7,1.8,2
32.4,31.6,29.9,6.0,62.0,27.5,8.7,1.8,2
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
29.7,29.0,31.3,10.0,63.6,24.6,7.6,4.3,3
