ENTIDAD,NOMBRE DE LA ESCUELA,TURNO,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,ALUMNOS EVALUADOS - LENGUAJE Y COMUNICACIÓN,ALUMNOS EVALUADOS - MATEMÁTICAS,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - LENGUAJE Y COMUNICACIÓN,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - MATEMÁTICAS,NIVEL LG - PORCENTAJE ALUMNOS - I,NIVEL LG - PORCENTAJE ALUMNOS - II,NIVEL LG - PORCENTAJE ALUMNOS - III,NIVEL LG - PORCENTAJE ALUMNOS - IV,NIVEL MATE - PORCENTAJE ALUMNOS - I,NIVEL MATE - PORCENTAJE ALUMNOS -  II,NIVEL MATE - PORCENTAJE ALUMNOS - III,NIVEL MATE - PORCENTAJE ALUMNOS - IV,grupos
SAN LUIS POTOSI,INSTITUTO ANDES DE SAN LUIS,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,35,38,SI,SI,5.7,22.9,48.6,22.9,28.9,42.1,18.4,10.5,0
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 28,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,70,71,SI,SI,2.9,12.9,45.7,38.6,25.4,31.0,19.7,23.9,0
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 28,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,70,75,SI,SI,7.1,20.0,50.0,22.9,37.3,34.7,21.3,6.7,0
SAN LUIS POTOSI,LIC. JESUS SILVA HERZOG,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,67,68,SI,SI,9.0,20.9,49.3,20.9,29.4,45.6,19.1,5.9,0
SAN LUIS POTOSI,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,67,67,SI,SI,10.4,23.9,43.3,22.4,40.3,32.8,20.9,6.0,0
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 26,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,72,71,SI,SI,9.7,26.4,31.9,31.9,39.4,29.6,22.5,8.5,0
SAN LUIS POTOSI,INSTITUTO MIGUEL DE CERVANTES SAAVEDRA DE SAN LUIS,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,10,11,SI,SI,0.0,10.0,60.0,30.0,45.5,27.3,27.3,0.0,0
SAN LUIS POTOSI,UNIVERSIDAD DEL VALLE DE MEXICO,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,39,39,SI,SI,7.7,17.9,35.9,38.5,35.9,35.9,15.4,12.8,0
SAN LUIS POTOSI,PREPARATORIA MOTOLINIA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,73,72,SI,SI,1.4,24.7,38.4,35.6,15.3,36.1,33.3,15.3,0
SAN LUIS POTOSI,UNIVERSIDAD DEL CENTRO DE MEXICO,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,38,36,SI,SI,5.3,15.8,36.8,42.1,38.9,33.3,19.4,8.3,0
