Municipio,Poblacion,p15a,p6a14noe,p15ymbin,psiss,vipt,visexsa,visagen,visidr,visee,visila,visire,Rezago,clasificacion
Ahualulco,"18,974",8,5.2,39.7,20.1,8.4,8.1,16.2,11.4,2.7,32.5,14.5,Bajo,2
Alaquines,"7,785",11.2,5,50.4,15,7.2,2.8,28.6,33.7,2.7,28.7,22.1,Medio,3
Aquismon,"48,359",15.3,5.6,49,22.3,20,4.3,27.3,47.2,7.8,76,56.7,Alto,4
Armadillo de los Infante,"4,013",10.4,16.8,57.4,14.6,3.5,5.2,13.9,14.9,3.3,36,18.1,Medio,3
Cardenas,"18,317",5.7,5.6,35.1,23.4,6.6,1.2,6.9,7.4,1.9,19.2,12.6,Bajo,2
Catorce,"9,579",10.1,6.4,42.6,10.4,7.5,5.9,19.4,13.5,3.7,35.6,22.5,Medio,3
Cedral,"19,840",6,3.6,33.7,13.9,2.8,1.9,5.3,3.4,1.1,18.7,10,Muy bajo,1
Cerritos,"22,075",5.4,4.7,38.1,21,3.4,0.8,5.1,16.8,1.4,16.1,10,Bajo,2
Cerro de San Pedro,"5,050",4.4,3.5,28.4,15.6,3.9,2.6,5.2,7.1,2.9,19.6,10.7,Muy bajo,1
Ciudad del Maiz,"30,320",7.4,5.4,43.1,13.8,5.6,1.8,17.7,21.2,1.8,20.1,14.9,Bajo,2
Ciudad Fernandez,"48,106",5.7,5.1,35.1,18.5,6.1,0.9,1.6,3.9,0.9,16.2,9.2,Muy bajo,1
Tancanhuitz,"20,300",7.8,2.4,36.7,22.7,19.2,2.7,38.9,20.6,6,76.4,43.9,Alto,4
Ciudad Valles,"179,371",4.2,3.3,24.9,19.5,6.1,1.4,3.2,6,1.7,24.7,9.5,Muy bajo,1
Coxcatlan,"15,660",9.4,2.9,40.9,14,12.7,1.9,35.6,49.4,4.2,76.6,35.8,Alto,4
Charcas,"21,814",6.7,5.6,34.7,15.5,6.3,2.9,13.9,12.5,3.9,29.8,17.4,Bajo,2
Ebano,"40,899",6.5,4.8,36.1,19.6,4.3,1.4,5.5,21.7,1.5,23.1,13,Bajo,2
Guadalcazar,"25,119",11.6,6.2,53.2,17.8,6.9,4.8,50.2,37.2,2.9,33.5,22.7,Medio,3
Huehuetlan,"15,334",9,3.4,38.7,16.7,15.3,2,26.5,25.5,5.8,72.7,41.8,Medio,3
Lagunillas,"5,453",14.3,6.7,53.4,11.6,5,3,10.8,33.3,2.8,24,14.3,Medio,3
Matehuala,"102,199",3.6,3.9,26.9,16.3,1.5,0.6,6.2,5.8,0.7,12.9,5.1,Muy bajo,1
Mexquitic de Carmona,"58,469",5.9,4.6,34.4,26.6,3.1,11.1,10.3,15,2.1,27.1,12.2,Bajo,2
Moctezuma,"19,036",9.1,5.1,47.1,21.6,4.2,6.6,9,15.6,2.2,27.5,13.8,Bajo,2
Rayon,"15,301",9.7,4.9,47.8,19.9,8.2,4.6,19.1,12,3.8,28,18.9,Bajo,2
Rioverde,"97,943",6.8,5.1,35.8,20.6,8,1.4,7,7.7,1.7,18.4,10.1,Bajo,2
Salinas,"31,107",5.1,5.1,42,19.8,3.7,4.5,9.4,9,1.5,18.6,13.1,Bajo,2
San Antonio,"9,382",10.1,2.4,38.9,13.1,12.2,5.4,22.1,43.5,5,85.7,44.2,Alto,4
San Ciro de Acosta,"10,215",9.3,7.2,46.6,17.1,6,3.2,5.5,7.4,2.2,21.9,13.8,Bajo,2
San Luis Potosi,"911,908",1.8,4.9,18.6,17.5,1.3,0.5,1.6,0.7,0.3,13.4,4.3,Muy bajo,1
San Martin Chalchicuautla,"18,468",16,3,43.3,8.8,20,1.8,36.5,40.4,2.4,70.5,24.4,Alto,4
San Nicolas Tolentino,"4,779",11.8,7,54.3,18.4,3.2,2.5,8.4,4.5,2.5,23.1,10.5,Bajo,2
Santa Catarina,"12,163",21.7,8.1,60.7,6.4,11.1,11,48.5,59.7,8.2,60.9,44.9,Muy alto,5
Santa Maria del Rio,"39,880",7.8,7.6,42.4,17.5,5.9,9.1,13.7,10.9,4,39.6,19.3,Bajo,2
Santo Domingo,"10,785",10.4,9.3,57.4,20.2,4.8,5.3,10.7,7,1.2,19.1,12.5,Bajo,2
