Clave de la entidad,Entidad,Clave de la escuela,Nombre de la escuela,Turno,Nombre del municipio,Nombre de la licalidad,Subsistema,Grado de marginación (CONAPO) de la localidad donde se ubica el CT,Sostenimiento,Total de alumnos en el ultimo grado (matrícula),Alumnos programados,Alumnos evaluados: L&C,Alumnos evaluados: M,Porcentaje (%) de alumnos evaluados: L&C,Porcentaje (%) de alumnos evaluados: M,¿Los alumnos evaluados son representativos de la totalidad de los estudiantes de la escuela?: L&C,¿Los alumnos evaluados son representativos de la totalidad de los estudiantes de la escuela?: M,Escuelas parecidas para comparación,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLLC:% de alumnos de la escuela en cada nivel de logro: I,NLLC:% de alumnos de la escuela en cada nivel de logro: II,NLLC:% de alumnos de la escuela en cada nivel de logro: III,NLLC:% de alumnos de la escuela en cada nivel de logro: IV,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLM:% de alumnos de la escuela en cada nivel de logro: I,NLM:% de alumnos de la escuela en cada nivel de logro: II,NLM:% de alumnos de la escuela en cada nivel de logro: III,NLM:% de alumnos de la escuela en cada nivel de logro: IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV
24,SAN LUIS POTOSI,24DPT0005Q,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,CONALEP EDOS,MUY BAJO,ESTATAL,172,76,71,71,93.4,93.4,SI,SI,Estatales de San Luis Potosí,19,22,23,7,26.8,31,32.4,9.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,45,15,9,2,63.4,21.1,12.7,2.8,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24DPT0005Q,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,CONALEP EDOS,MUY BAJO,ESTATAL,123,76,72,73,94.7,96.1,SI,SI,Estatales de San Luis Potosí,38,20,14,0,52.8,27.8,19.4,0,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,59,14,0,0,80.8,19.2,0,0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0017A,COLEGIO DE BACHILLERES NUM. 17,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,COBACH,MUY BAJO,ESTATAL,201,76,72,74,94.7,97.4,SI,SI,Estatales de San Luis Potosí,21,15,31,5,29.2,20.8,43.1,6.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,47,19,5,3,63.5,25.7,6.8,4.1,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0017A,COLEGIO DE BACHILLERES NUM. 17,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,COBACH,MUY BAJO,ESTATAL,176,76,68,66,89.5,86.8,SI,SI,Estatales de San Luis Potosí,28,21,13,6,41.2,30.9,19.1,8.8,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,49,13,2,2,74.2,19.7,3,3,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0024K,COLEGIO DE BACHILLERES NUM. 25,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,COBACH,MUY BAJO,ESTATAL,229,80,73,64,91.3,80,SI,SI,Estatales de San Luis Potosí,18,23,26,6,24.7,31.5,35.6,8.2,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,44,15,5,0,68.8,23.4,7.8,0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0024K,COLEGIO DE BACHILLERES NUM. 25,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,COBACH,MUY BAJO,ESTATAL,218,76,70,70,92.1,92.1,SI,SI,Estatales de San Luis Potosí,16,30,22,2,22.9,42.9,31.4,2.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,46,19,5,0,65.7,27.1,7.1,0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0027H,COLEGIO DE BACHILLERES NUM. 26,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,COBACH,MUY BAJO,ESTATAL,385,80,72,71,90,88.8,SI,SI,Estatales de San Luis Potosí,7,19,23,23,9.7,26.4,31.9,31.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,28,21,16,6,39.4,29.6,22.5,8.5,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0027H,COLEGIO DE BACHILLERES NUM. 26,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,COBACH,MUY BAJO,ESTATAL,314,76,71,70,93.4,92.1,SI,SI,Estatales de San Luis Potosí,20,19,29,3,28.2,26.8,40.8,4.2,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,48,16,4,2,68.6,22.9,5.7,2.9,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0031U,COLEGIO DE BACHILLERES NUM. 28,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,COBACH,MUY BAJO,ESTATAL,400,76,70,71,92.1,93.4,SI,SI,Estatales de San Luis Potosí,2,9,32,27,2.9,12.9,45.7,38.6,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,18,22,14,17,25.4,31,19.7,23.9,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
24,SAN LUIS POTOSI,24ECB0031U,COLEGIO DE BACHILLERES NUM. 28,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,COBACH,MUY BAJO,ESTATAL,336,76,70,75,92.1,98.7,SI,SI,Estatales de San Luis Potosí,5,14,35,16,7.1,20,50,22.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,28,26,16,5,37.3,34.7,21.3,6.7,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5
