Acciones,Fecha,Precio inicio,Precio cierre,Máximo,Mínimo,% Variación del mercado,USD - MXN Apertura,USD - MXN Cierre,% Variación USD - MXN,Inflación - INPC indice general,Indice de precios y cotizaciones - Indice general,"Indice de precios y cotizaciones, Indice por clasificación sectorial - Materiales","Indice de precios y cotizaciones - Indice por clasificación sectorial, Servicios y bienes de consumo no básicos","Indice de precios y cotizaciones - Indice por clasificación sectorial, Productos de consumo frecuentes","Indice de precios y cotizaciones - Indice por clasificación sectorial, Servicios financieros"
"Grupo Elektra, S.A.B De C.V.",ene-17,260,270.37,275.8,258.97,2.65%,20.687,20.832,0.56%,1.70,"47,001.06",921.61,612.48,758.48,92.40
"Grupo Elektra, S.A.B De C.V.",feb-17,272,291.85,301.71,263,7.94%,20.834,20.1,-3.51%,0.58,"46,856.79",876.63,625.63,776.27,89.92
"Grupo Elektra, S.A.B De C.V.",mar-17,291.8,443.35,449,290,51.91%,20.1075,18.72,-6.87%,0.61,"48,541.56",857.85,725.54,827.19,96.57
"Grupo Elektra, S.A.B De C.V.",abr-17,450,622.42,925,448,40.39%,18.719,18.81,0.48%,0.12,"49,261.33",849.06,819.53,825.63,97.94
"Grupo Elektra, S.A.B De C.V.",may-17,640,767.49,776.63,610.81,23.31%,18.818,18.6192,-1.01%,-0.12,"48,788.44",791.98,883.73,818.47,96.41
"Grupo Elektra, S.A.B De C.V.",jun-17,770,762.64,890.9,699,-0.63%,18.6212,18.1228,-2.67%,0.25,"49,857.49",812.50,886.91,823.58,99.41
"Grupo Elektra, S.A.B De C.V.",jul-17,761,795.3,848,743,4.28%,18.1396,17.7917,-1.83%,0.38,"51,011.87",856.27,901.67,815.75,102.29
"Grupo Elektra, S.A.B De C.V.",ago-17,793.8,779.23,840,759.29,-2.02%,17.7985,17.882,0.51%,0.49,"51,210.48",862.06,872.43,829.53,102.39
"Grupo Elektra, S.A.B De C.V.",sep-17,783.17,823.51,845,716.92,5.68%,17.8888,18.25,2.06%,0.31,"50,346.06",837.32,891.11,809.27,105.77
"Grupo Elektra, S.A.B De C.V.",oct-17,824,768.9,852.54,760,-6.63%,18.255,19.147,4.92%,0.63,"48,625.53",860.88,828.85,799.54,97.91
"Grupo Elektra, S.A.B De C.V.",nov-17,769.01,794.67,833.36,769.01,3.35%,19.1489,18.629,-2.71%,1.03,"47,092.44",818.18,844.94,807.26,95.43
"Grupo Elektra, S.A.B De C.V.",dic-17,786.01,700.6,811.99,688.05,-11.84%,18.631,19.648,5.47%,0.59,"49,354.42",860.60,807.21,859.98,94.66
"Grupo Elektra, S.A.B De C.V.",ene-18,699.98,672.39,717.52,650.05,-4.03%,19.66,18.5905,-5.38%,0.53,"50,456.17",895.16,807.75,855.01,100.08
"Grupo Elektra, S.A.B De C.V.",feb-18,678,554.77,690.01,550,-17.49%,18.6,18.8305,1.29%,0.38,"47,437.93",844.11,729.96,818.59,95.48
"Grupo Elektra, S.A.B De C.V.",mar-18,551,510.08,572.82,502,-8.06%,18.8403,18.15,-3.61%,0.32,"46,124.85",805.27,715.79,812.36,93.98
"Grupo Elektra, S.A.B De C.V.",abr-18,515,510.01,535.3,495.15,-0.01%,18.1878,18.7125,3.10%,-0.34,"48,358.16",828.44,721.44,864.83,98.45
"Grupo Elektra, S.A.B De C.V.",may-18,504.2,509.9,529.95,491.01,-0.02%,18.714,19.908,6.39%,-0.16,"44,662.55",739.24,699.91,815.96,91.46
"Grupo Elektra, S.A.B De C.V.",jun-18,511.26,541.77,575,505.06,6.25%,19.909,19.909,0.01%,0.39,"47,663.20",801.87,735.15,847.15,95.25
"Grupo Elektra, S.A.B De C.V.",jul-18,540,686.66,725,509.99,26.74%,19.805,18.643,-6.36%,0.54,"49,698.01",823.42,818.71,865.06,103.88
"Grupo Elektra, S.A.B De C.V.",ago-18,700.5,897.8,979.01,672,30.75%,18.648,19.08,2.34%,0.58,"49,547.68",796.89,926.94,853.57,103.27
"Grupo Elektra, S.A.B De C.V.",sep-18,914.7,853.42,939,799,-4.94%,19.085,18.708,-1.95%,0.42,"49,504.16",783.80,889.47,884.04,104.09
"Grupo Elektra, S.A.B De C.V.",oct-18,853.4,859.76,879.99,744,0.74%,18.7184,20.3295,8.67%,0.52,"43,942.55",679.97,865.46,798.09,90.42
"Grupo Elektra, S.A.B De C.V.",nov-18,859.99,915,998.99,791,6.43%,20.3398,20.396,0.33%,0.85,"41,732.78",635.55,880.47,801.04,84.74
"Grupo Elektra, S.A.B De C.V.",dic-18,925,951.93,979,843.01,4.04%,20.4053,19.6403,-3.71%,0.70,"41,640.27",621.01,905.79,798.79,85.38
"Grupo Elektra, S.A.B De C.V.",ene-19,958,"1,036.66","1,104.01",916.99,8.90%,19.6513,19.1058,-2.72%,0.09,"43,987.94",662.55,947.93,804.99,90.81
"Grupo Elektra, S.A.B De C.V.",feb-19,"1,038.99","1,003.75","1,073.00",963.8,-3.17%,19.1065,19.2775,0.90%,-0.03,"42,823.81",657.43,910.95,798.14,90.71
"Grupo Elektra, S.A.B De C.V.",mar-19,"1,008.00","1,049.42","1,097.90",980.4,4.55%,19.2825,19.4215,0.75%,0.39,"43,281.28",671.51,902.15,825.08,89.70
"Grupo Elektra, S.A.B De C.V.",abr-19,"1,054.90","1,008.42","1,069.50",963,-3.91%,19.373,18.9402,-2.48%,0.05,"44,597.32",667.54,873.57,853.70,97.84
"Grupo Elektra, S.A.B De C.V.",may-19,"1,009.99","1,197.94","1,245.00","1,009.99",18.79%,18.9477,19.612,3.55%,-0.29,"42,749.16",608.34,945.28,840.62,90.42
"Grupo Elektra, S.A.B De C.V.",jun-19,"1,222.69","1,256.01","1,283.99","1,175.11",4.85%,19.6027,19.2162,-2.02%,0.06,"43,161.17",623.44,971.02,829.91,92.98
"Grupo Elektra, S.A.B De C.V.",jul-19,"1,269.99","1,294.53","1,317.88","1,219.16",3.07%,19.1915,19.1265,-0.47%,0.38,"40,863.09",557.97,985.48,829.40,83.69
"Grupo Elektra, S.A.B De C.V.",ago-19,"1,301.50","1,387.75","1,427.77","1,282.02",7.20%,19.134,20.0575,4.87%,-0.02,"42,622.50",583.09,"1,043.53",842.94,87.57
"Grupo Elektra, S.A.B De C.V.",sep-19,"1,394.00","1,399.74","1,595.38","1,370.05",0.86%,20.063,19.7275,-1.65%,0.26,"43,011.27",600.89,"1,054.18",862.63,87.29
"Grupo Elektra, S.A.B De C.V.",oct-19,"1,391.05","1,398.06","1,429.98","1,363.00",-0.12%,19.7325,19.228,-2.53%,0.54,"43,337.28",614.39,"1,055.28",845.75,87.53
"Grupo Elektra, S.A.B De C.V.",nov-19,"1,395.00","1,367.83","1,419.00","1,352.01",-2.16%,19.2345,19.562,1.74%,0.81,"42,820.18",613.07,"1,040.55",825.16,86.01
"Grupo Elektra, S.A.B De C.V.",dic-19,"1,371.24","1,388.35","1,428.99","1,360.27",1.50%,19.527,18.925,-3.26%,0.56,"43,541.02",611.66,"1,039.80",821.94,88.19
"Grupo Elektra, S.A.B De C.V.",ene-20,"1,400.00","1,383.14","1,415.90","1,377.15",-0.38%,18.9325,18.8353,-0.47%,0.48,"44,108.31",608.74,"1,031.50",821.79,91.23
"Grupo Elektra, S.A.B De C.V.",feb-20,"1,398.90","1,327.58","1,449.99","1,267.18",-4.02%,18.855,19.611,4.12%,0.42,"41,324.31",551.73,970.54,790.67,86.62
"Grupo Elektra, S.A.B De C.V.",mar-20,"1,350.00","1,404.03","1,472.83","1,200.01",5.76%,19.8645,23.714,20.92%,-0.5,"34,554.53",478.49,908.77,765.65,60.36
"Grupo Elektra, S.A.B De C.V.",abr-20,"1,380.75","1,385.07","1,449.49","1,342.10",-1.35%,23.719,24.151,1.84%,-1.01,"36,470.11",526.63,907.15,810.23,59.81
"Grupo Elektra, S.A.B De C.V.",may-20,"1,381.61","1,319.97","1,419.99","1,290.05",-4.70%,24.175,22.1675,-8.21%,0.38,"36,122.73",528.43,869.88,792.66,60.31
"Grupo Elektra, S.A.B De C.V.",jun-20,"1,312.60","1,260.34","1,350.00","1,240.10",-4.52%,22.2801,22.9889,3.71%,0.55,"37,716.43",586.13,843.98,808.74,66.37
"Grupo Elektra, S.A.B De C.V.",jul-20,"1,255.68","1,191.78","1,284.99","1,165.51",-5.44%,22.9987,22.2714,-3.12%,0.66,"37,019.68",634.67,810.01,793.83,66.18
"Grupo Elektra, S.A.B De C.V.",ago-20,"1,184.76","1,197.99","1,242.75","1,170.00",0.52%,22.2644,21.8785,-1.76%,0.39,"36,840.73",652.10,818.12,777.17,64.32
"Grupo Elektra, S.A.B De C.V.",sep-20,"1,195.00","1,198.90","1,221.45","1,155.00",0.08%,21.8915,22.099,1.01%,0.23,"37,458.69",663.60,817.22,781.34,64.57
"Grupo Elektra, S.A.B De C.V.",oct-20,"1,196.84","1,201.83","1,269.00","1,177.00",0.24%,22.1065,21.171,-4.20%,0.61,"36,987.86",697.99,811.52,750.53,70.04
"Grupo Elektra, S.A.B De C.V.",nov-20,"1,201.93","1,293.83","1,301.56","1,188.05",7.65%,21.244,20.166,-4.75%,0.08,"41,778.87",771.60,885.80,806.43,80.81
"Grupo Elektra, S.A.B De C.V.",dic-20,"1,293.73","1,319.68","1,399.98","1,240.00",2.00%,20.1825,19.871,-1.46%,0.38,"44,066.88",866.78,893.27,840.79,84.86
"Grupo Elektra, S.A.B De C.V.",ene-21,"1,319.78","1,386.01","1,436.92","1,304.20",5.03%,19.8885,20.5855,3.60%,0.86,"42,985.73",901.35,914.49,823.66,79.56
"Grupo Elektra, S.A.B De C.V.",feb-21,"1,383.04","1,385.84","1,409.97","1,340.00",-0.01%,20.475,20.848,1.28%,0.63,"44,592.91",988.97,920.43,835.19,81.51
"Grupo Elektra, S.A.B De C.V.",mar-21,"1,385.94","1,374.28","1,421.17","1,365.01",-0.83%,20.862,20.422,-2.04%,0.83,"47,246.26","1,035.51",921.16,893.13,85.22
